montant_demande_fcfa,duree_mois,nb_transactions_30j,ville,age,metier,revenu_mensuel_fcfa,anciennete_mobile_money_mois,operateur_principal,nb_transactions_total,montant_total_fcfa,montant_moyen_fcfa,montant_max_fcfa,montant_std_fcfa,nb_types_distincts,nb_operateurs_distincts,jours_depuis_derniere_trans,nb_achat_credit,nb_depot,nb_paiement_facture,nb_retrait,nb_transfert,charge_mensuelle_fcfa,ratio_endettement,capacite_remboursement,ratio_montant_revenu_annuel,montant_par_mois,intensite_utilisation,ratio_moy_trans_revenu,ratio_volume_trans_pret,regularite_transactions,ratio_trans_30j_total,score_diversification,recence_normalisee,actif_30j,actif_7j,pct_achat_credit,pct_depot,pct_paiement_facture,pct_retrait,pct_transfert,ratio_retrait_depot,engagement_paiement,tranche_age,segment_anciennete,segment_revenu
208125,12,18,2,23,5,110639,3,0,18,371168,20620.444444444445,43179,13275.194529303504,5,1,7,4,1,5,4,4,17343.75,0.1567598224857419,93295.25,0.1567598224857419,17343.75,4.5,0.18637591124688804,1.7833812209911304,0.6437567729587406,0.9473684210526315,5,0.14285714285714285,1,1,0.21052631578947367,0.05263157894736842,0.2631578947368421,0.21052631578947367,0.21052631578947367,2.0,0.2631578947368421,2,3,1
474901,6,33,4,24,3,200665,6,2,33,1261223,38218.878787878784,78018,22978.12843330258,5,1,3,13,4,4,5,7,79150.16666666667,0.3944393225857358,121514.83333333333,0.1972196612928679,79150.16666666667,4.714285714285714,0.19046111074616293,2.6557542398221106,0.6012088254081528,0.9705882352941176,5,0.061224489795918366,1,1,0.38235294117647056,0.11764705882352941,0.11764705882352941,0.14705882352941177,0.20588235294117646,1.0,0.11764705882352941,2,3,2
93326,9,60,1,28,3,78767,54,2,60,933411,15556.85,31471,8422.893202004456,5,1,0,11,12,11,10,16,10369.555555555555,0.13164847658988604,68397.44444444444,0.09873635744241455,10369.555555555555,1.0909090909090908,0.1975046656594767,10.001510816805427,0.5413918505451881,0.9836065573770492,5,0.0,1,1,0.18032786885245902,0.19672131147540983,0.18032786885245902,0.16393442622950818,0.26229508196721313,0.7692307692307693,0.18032786885245902,0,1,0
123819,12,66,6,56,2,65649,60,1,66,828258,12549.363636363636,25855,7504.738233812155,5,1,0,13,16,10,10,17,10318.25,0.1571729957805907,55330.75,0.1571729957805907,10318.25,1.0819672131147542,0.19115848887817996,6.689210143757067,0.5979697840840085,0.9850746268656716,5,0.0,1,1,0.19402985074626866,0.23880597014925373,0.14925373134328357,0.14925373134328357,0.2537313432835821,0.5882352941176471,0.14925373134328357,1,1,0
113822,9,20,3,58,0,130863,25,0,20,533023,26651.15,51117,12593.164333227936,5,1,1,2,4,2,9,3,12646.888888888889,0.09664220512206574,118216.11111111111,0.07248165384154931,12646.888888888889,0.7692307692307693,0.20365687780350444,4.682911186667018,0.47250088016268615,0.9523809523809523,5,0.02040816326530612,1,1,0.09523809523809523,0.19047619047619047,0.09523809523809523,0.42857142857142855,0.14285714285714285,1.8,0.09523809523809523,1,0,3
155340,12,46,2,32,4,330783,50,2,46,2911393,63291.15217391304,99670,29994.18397768873,5,1,5,9,9,10,10,8,12945.0,0.03913441742773963,317838.0,0.03913441742773963,12945.0,0.9019607843137255,0.19133737880699142,18.741948358771992,0.4739005223786868,0.9787234042553191,5,0.10204081632653061,1,1,0.19148936170212766,0.19148936170212766,0.2127659574468085,0.2127659574468085,0.1702127659574468,1.0,0.2127659574468085,0,1,2
176058,9,68,1,31,8,88526,59,2,68,1221711,17966.33823529412,35252,9018.45087900487,5,1,6,21,11,12,12,12,19562.0,0.2209746289225764,68964.0,0.16573097169193232,19562.0,1.1333333333333333,0.20294984790111514,6.9392135590909865,0.5019358327261567,0.9855072463768116,5,0.12244897959183673,1,1,0.30434782608695654,0.15942028985507245,0.17391304347826086,0.17391304347826086,0.17391304347826086,1.0,0.17391304347826086,0,1,1
137922,6,40,6,27,2,99786,4,1,40,827086,20677.15,39390,11076.680715324008,5,1,0,12,9,9,8,2,22987.0,0.2303629767702884,76799.0,0.1151814883851442,22987.0,8.0,0.2072149399715391,5.99672280910363,0.535670778832923,0.975609756097561,5,0.0,1,1,0.2926829268292683,0.21951219512195122,0.21951219512195122,0.1951219512195122,0.04878048780487805,0.8,0.21951219512195122,0,3,1
69908,3,37,7,51,9,90621,25,1,37,744603,20124.405405405407,36019,9824.450885021117,5,1,16,6,9,4,7,11,23302.666666666668,0.25714422337721576,67318.33333333333,0.06428605584430393,23302.666666666668,1.4230769230769231,0.22207220628116447,10.65103205595846,0.48816163883995123,0.9736842105263158,5,0.32653061224489793,1,0,0.15789473684210525,0.23684210526315788,0.10526315789473684,0.18421052631578946,0.2894736842105263,0.7,0.10526315789473684,1,0,1
329661,9,24,3,59,3,201549,35,0,24,1224930,51038.75,79424,22663.363421764134,5,1,5,5,2,4,7,6,36629.0,0.1817374435000918,164920.0,0.13630308262506885,36629.0,0.6666666666666666,0.2532324645619676,3.7157148837293956,0.4440335899326336,0.96,5,0.10204081632653061,1,1,0.2,0.08,0.16,0.28,0.24,2.3333333333333335,0.16,1,0,2
