transaction_id,client_id,type,montant_fcfa,operateur,date
1,1,paiement_facture,35890,gimac,2026-04-22
2,1,achat_credit,38461,gimac,2026-02-28
3,1,retrait,42944,gimac,2026-03-24
4,1,retrait,6929,gimac,2026-04-17
5,1,paiement_facture,21387,gimac,2026-03-14
6,1,transfert,4717,gimac,2025-12-24
7,1,depot,32693,gimac,2026-02-17
8,1,achat_credit,26005,gimac,2026-03-03
9,1,paiement_facture,12993,gimac,2025-11-30
10,1,paiement_facture,18063,gimac,2026-04-16
11,1,transfert,3203,gimac,2026-03-06
12,1,depot,38858,gimac,2026-05-15
13,1,retrait,42160,gimac,2025-11-28
14,1,paiement_facture,26309,gimac,2026-03-20
15,1,paiement_facture,43943,gimac,2025-12-11
16,1,retrait,7591,gimac,2025-11-29
17,1,achat_credit,19170,gimac,2026-01-30
18,1,retrait,15364,gimac,2026-03-19
19,1,retrait,11430,gimac,2026-03-08
20,1,achat_credit,29726,gimac,2026-01-31
21,1,depot,14197,gimac,2026-05-15
22,1,achat_credit,22761,gimac,2026-01-18
23,1,depot,33465,gimac,2026-02-27
24,1,transfert,32643,gimac,2026-04-12
25,1,transfert,17579,gimac,2026-05-07
26,1,achat_credit,34352,gimac,2026-01-03
27,1,depot,3476,gimac,2025-11-27
28,1,achat_credit,30171,gimac,2025-12-10
29,1,achat_credit,8202,gimac,2025-12-10
30,1,paiement_facture,29593,gimac,2026-04-02
31,1,retrait,5861,gimac,2025-12-27
32,1,retrait,24728,gimac,2026-03-21
33,1,paiement_facture,32090,gimac,2025-12-22
34,1,retrait,23077,gimac,2026-01-28
35,1,transfert,9826,gimac,2026-03-18
36,1,retrait,37035,gimac,2026-03-01
37,1,retrait,20301,gimac,2026-05-02
38,1,transfert,40375,gimac,2026-02-12
39,1,depot,3188,gimac,2026-03-27
40,1,retrait,30411,gimac,2026-01-01
41,1,retrait,44623,gimac,2026-05-01
42,1,retrait,32764,gimac,2026-03-17
43,1,achat_credit,19716,gimac,2026-05-11
44,1,depot,13594,gimac,2025-12-21
45,1,transfert,9681,gimac,2026-02-18
46,1,transfert,2900,gimac,2026-04-23
47,1,achat_credit,35898,gimac,2026-02-01
48,1,retrait,23763,gimac,2025-12-02
49,1,paiement_facture,10568,gimac,2026-04-01
50,1,achat_credit,34728,gimac,2026-03-11
51,1,retrait,21032,gimac,2026-04-20
52,1,paiement_facture,11656,gimac,2025-12-21
53,2,retrait,9796,airtel,2026-02-05
54,2,paiement_facture,14413,airtel,2026-05-16
55,2,retrait,28181,airtel,2026-03-24
56,2,achat_credit,26719,airtel,2026-02-18
57,2,retrait,2646,airtel,2026-05-02
58,2,achat_credit,43179,airtel,2026-03-02
59,2,achat_credit,11135,airtel,2025-11-29
60,2,paiement_facture,33160,airtel,2026-02-04
61,2,depot,6218,airtel,2026-05-05
62,2,retrait,16207,airtel,2026-05-10
63,2,transfert,40397,airtel,2026-01-23
64,2,transfert,42877,airtel,2025-12-03
65,2,transfert,2438,airtel,2026-05-12
66,2,achat_credit,18228,airtel,2025-12-16
67,2,transfert,17806,airtel,2025-12-03
68,2,paiement_facture,26618,airtel,2026-05-13
69,2,paiement_facture,23391,airtel,2026-04-10
70,2,paiement_facture,7759,airtel,2026-01-24
71,3,depot,7334,gimac,2026-02-02
72,3,retrait,3651,gimac,2026-03-04
73,3,paiement_facture,34869,gimac,2026-01-16
74,3,paiement_facture,36927,gimac,2026-02-20
75,3,paiement_facture,25108,gimac,2026-03-17
76,3,retrait,13793,gimac,2026-01-11
77,3,achat_credit,29783,gimac,2026-03-04
78,3,achat_credit,22948,gimac,2026-04-15
79,3,depot,9112,gimac,2026-05-10
80,3,achat_credit,8894,gimac,2026-03-26
81,3,achat_credit,8155,gimac,2026-03-18
82,3,achat_credit,6362,gimac,2026-02-01
83,3,transfert,18641,gimac,2026-05-13
84,3,depot,19254,gimac,2026-01-19
85,3,depot,6650,gimac,2026-04-16
